pair,frame,label,cell_id,n_contour_points,mean_curvature,max_abs_curvature,mean_fluorescence,max_fluorescence
Spn3-GFP_Sad1-mCh_080724_001,0,1,Spn3-GFP_Sad1-mCh_080724_001_f0000_l1,300,0.01069275822710325,0.04044834031332779,235.31243041992187,1318.5185546875
Spn3-GFP_Sad1-mCh_080724_001,0,2,Spn3-GFP_Sad1-mCh_080724_001_f0000_l2,300,0.016795920894734737,0.04755902666015991,325.3362052408854,1183.13818359375
Spn3-GFP_Sad1-mCh_080724_001,0,3,Spn3-GFP_Sad1-mCh_080724_001_f0000_l3,300,0.017454803035911768,0.05746817628910942,318.2545471191406,848.091796875
Spn3-GFP_Sad1-mCh_080724_001,0,4,Spn3-GFP_Sad1-mCh_080724_001_f0000_l4,300,0.013149313787601242,0.058989722331076945,322.1059757486979,943.854248046875
Spn3-GFP_Sad1-mCh_080724_001,0,5,Spn3-GFP_Sad1-mCh_080724_001_f0000_l5,300,0.01340435748495981,0.0360433411396817,210.22359293619792,382.078125
Spn3-GFP_Sad1-mCh_080724_001,0,6,Spn3-GFP_Sad1-mCh_080724_001_f0000_l6,300,0.015032906452490632,0.07047982503297805,327.0750048828125,820.712158203125
Spn3-GFP_Sad1-mCh_080724_001,0,8,Spn3-GFP_Sad1-mCh_080724_001_f0000_l8,300,0.013220225981849255,0.03954821111783747,283.6975496419271,435.1044921875
Spn3-GFP_Sad1-mCh_080724_001,0,9,Spn3-GFP_Sad1-mCh_080724_001_f0000_l9,300,0.016859218232578486,0.06293598480441766,289.83423787434896,1025.22412109375
Spn3-GFP_Sad1-mCh_080724_001,0,10,Spn3-GFP_Sad1-mCh_080724_001_f0000_l10,300,0.01682627031925718,0.05810555303623568,305.2433028157552,1053.957275390625
Spn3-GFP_Sad1-mCh_080724_001,0,11,Spn3-GFP_Sad1-mCh_080724_001_f0000_l11,300,0.013742189068326346,0.03831425896936212,286.55375895182294,516.9937744140625
Spn3-GFP_Sad1-mCh_080724_001,0,16,Spn3-GFP_Sad1-mCh_080724_001_f0000_l16,300,0.013647052064150834,0.050471083384391026,324.3093033854167,856.46435546875
Spn3-GFP_Sad1-mCh_080724_001,0,26,Spn3-GFP_Sad1-mCh_080724_001_f0000_l26,300,0.013066956722465444,0.06874137896012075,375.2412121582031,697.9527587890625
Spn3-GFP_Sad1-mCh_080724_001,0,27,Spn3-GFP_Sad1-mCh_080724_001_f0000_l27,300,0.011115186161373958,0.06891903573002811,336.81378743489586,803.2396240234375
Spn3-GFP_Sad1-mCh_080724_001,0,28,Spn3-GFP_Sad1-mCh_080724_001_f0000_l28,300,0.015993541040521492,0.06077045436568782,297.16073038736977,871.433837890625
Spn3-GFP_Sad1-mCh_080724_001,0,29,Spn3-GFP_Sad1-mCh_080724_001_f0000_l29,300,0.014815430320105396,0.07483588189683585,308.3154187011719,655.6246337890625
Spn3-GFP_Sad1-mCh_080724_001,0,30,Spn3-GFP_Sad1-mCh_080724_001_f0000_l30,300,0.011472956356290951,0.04274079868720033,299.39417032877606,1471.121826171875
Spn3-GFP_Sad1-mCh_080724_001,0,31,Spn3-GFP_Sad1-mCh_080724_001_f0000_l31,300,0.01042143188341625,0.046739395996659265,257.07963907877604,1653.680908203125
Spn3-GFP_Sad1-mCh_080724_003,0,2,Spn3-GFP_Sad1-mCh_080724_003_f0000_l2,300,0.01728351141911557,0.05805841544511666,315.8459187825521,919.233642578125
Spn3-GFP_Sad1-mCh_080724_003,0,3,Spn3-GFP_Sad1-mCh_080724_003_f0000_l3,300,0.01649873935504318,0.0565413773887302,271.3800077311198,953.944091796875
Spn3-GFP_Sad1-mCh_080724_003,0,4,Spn3-GFP_Sad1-mCh_080724_003_f0000_l4,300,0.010354148209759908,0.06280048449212985,277.99448486328123,1064.19189453125
Spn3-GFP_Sad1-mCh_080724_003,0,5,Spn3-GFP_Sad1-mCh_080724_003_f0000_l5,300,0.012796004029383183,0.039444684646511796,254.006845703125,405.146240234375
Spn3-GFP_Sad1-mCh_080724_003,0,6,Spn3-GFP_Sad1-mCh_080724_003_f0000_l6,300,0.012827942952937094,0.04064052019189602,283.2184012858073,449.048828125
Spn3-GFP_Sad1-mCh_080724_003,0,7,Spn3-GFP_Sad1-mCh_080724_003_f0000_l7,300,0.011440630038437488,0.03958810396120772,279.95374755859376,469.301513671875
Spn3-GFP_Sad1-mCh_080724_003,0,8,Spn3-GFP_Sad1-mCh_080724_003_f0000_l8,300,0.010753445241394629,0.06646791706533185,255.37358520507811,861.020263671875
Spn3-GFP_Sad1-mCh_080724_003,0,9,Spn3-GFP_Sad1-mCh_080724_003_f0000_l9,300,0.011415885743456752,0.03588724522726235,264.1960957845052,437.012451171875
Spn3-GFP_Sad1-mCh_080724_003,0,10,Spn3-GFP_Sad1-mCh_080724_003_f0000_l10,300,0.014319206701892255,0.03696823134394836,270.2436832682292,447.1488037109375
Spn3-GFP_Sad1-mCh_080724_003,0,11,Spn3-GFP_Sad1-mCh_080724_003_f0000_l11,300,0.01730679770237138,0.05406022876033318,324.038545328776,958.873291015625
Spn3-GFP_Sad1-mCh_080724_003,0,12,Spn3-GFP_Sad1-mCh_080724_003_f0000_l12,300,0.01182685692359775,0.0380948486214824,260.8446504720052,394.74853515625
